name,url,price
Carraro BIG BANG Denge Bisikleti,https://www.erdoganlarbisiklet.com/bisiklet/carraro-big-bang-denge-bisikleti.html,"1.350,00 TL"
Kron XC50 20 Jant Çocuk Bisiklet (5-8 yaş),https://www.erdoganlarbisiklet.com/bisiklet/kron-xc50-20jant-cocuk-bisiklet-5-8-yas.html,"2.090,00 TL"
Carraro Moggy 20 Jant Çocuk Bisiklet Pembe (5-8 yaş),https://www.erdoganlarbisiklet.com/bisiklet/carraro-moggy-20-jant-cocuk-bisiklet-pembe-5-8-yas.html,"2.450,00 TL"
Carraro Moggy 16 Jant Çocuk Bisiklet Siyah&Pembe (4-6 yaş),https://www.erdoganlarbisiklet.com/bisiklet/carraro-moggy-16-jant-cocuk-bisiklet-siyah-pembe-4-6-yas.html,"2.490,00 TL"
Bianchi Bella 24 Jant Çocuk Bisikleti Fuşya (9-13 yaş),https://www.erdoganlarbisiklet.com/bisiklet/bianchi-bella-24-jant-cocuk-bisikleti-fusya-9-13-yas.html,"2.500,00 TL"
Bianchi Bella 24 Jant Çocuk Bisikleti Beyaz (9-13 yaş),https://www.erdoganlarbisiklet.com/bisiklet/bianchi-bella-24-jant-cocuk-bisikleti-beyaz-9-13-yas.html,"2.500,00 TL"
Carraro Monster 20 Jant Çocuk Bisiklet Sarı (5-8 yaş),https://www.erdoganlarbisiklet.com/bisiklet/carraro-monster-20-jant-cocuk-bisiklet-sari-5-8-yas.html,"2.600,00 TL"
Carraro Monster 20 Jant Çocuk Bisiklet Siyah (5-8 yaş),https://www.erdoganlarbisiklet.com/bisiklet/carraro-monster-20-jant-cocuk-bisiklet-siyah-5-8-yas-22849.html,"2.600,00 TL"
Carraro Monster 20 Jant Çocuk Bisiklet Kırmızı (5-8 yaş),https://www.erdoganlarbisiklet.com/bisiklet/carraro-monster-20-jant-cocuk-bisiklet-kirmizi-5-8-yas.html,"2.600,00 TL"
Peugeot J16 16 Jant Çocuk Bisikleti Kırmızı (4-6 yaş) 2022,https://www.erdoganlarbisiklet.com/bisiklet/peugeot-j16-16-jant-cocuk-bisikleti-siyah-4-6-yas-2021.html,"2.700,00 TL"
Peugeot J16 16 Jant Çocuk Bisikleti Mavi (4-6 yaş) 2022,https://www.erdoganlarbisiklet.com/bisiklet/peugeot-j16-16-jant-cocuk-bisikleti-mavi-4-6-yas-2021.html,"2.700,00 TL"
